,discharge,quality
2017-03-15,110.0,A
2017-03-16,107.0,A
2017-03-17,104.0,A
2017-03-18,101.0,A
2017-03-19,94.9,A
2017-03-20,92.1,A
2017-03-21,88.3,A
2017-03-22,100.0,A
2017-03-23,124.0,A
2017-03-24,119.0,A
2017-03-25,307.0,A
2017-03-26,337.0,A
2017-03-27,393.0,A
2017-03-28,476.0,A
2017-03-29,399.0,A
2017-03-30,333.0,A
2017-03-31,287.0,A
2017-04-01,252.0,A
2017-04-02,227.0,A
2017-04-03,221.0,A
2017-04-04,233.0,A
2017-04-05,224.0,A
2017-04-06,212.0,A
2017-04-07,197.0,A
2017-04-08,183.0,A
2017-04-09,174.0,A
2017-04-10,167.0,A
2017-04-11,156.0,A
2017-04-12,149.0,A
2017-04-13,145.0,A
2017-04-14,137.0,A
2017-04-15,133.0,A
2017-04-16,134.0,A
2017-04-17,237.0,A
2017-04-18,269.0,A
2017-04-19,233.0,A
2017-04-20,236.0,A
2017-04-21,2120.0,A
2017-04-22,4320.0,A
2017-04-23,1380.0,A
2017-04-24,799.0,A
2017-04-25,577.0,A
2017-04-26,645.0,A
2017-04-27,919.0,A
2017-04-28,721.0,A
2017-04-29,13900.0,A
2017-04-30,10400.0,A
2017-05-01,2380.0,A
2017-05-02,1130.0,A
2017-05-03,735.0,A
2017-05-04,564.0,A
2017-05-05,460.0,A
2017-05-06,390.0,A
2017-05-07,340.0,A
2017-05-08,302.0,A
2017-05-09,272.0,A
2017-05-10,247.0,A
2017-05-11,276.0,A
2017-05-12,577.0,A
2017-05-13,525.0,A
2017-05-14,379.0,A
2017-05-15,307.0,A
2017-05-16,264.0,A
2017-05-17,235.0,A
2017-05-18,212.0,A
2017-05-19,296.0,A
2017-05-20,5990.0,A
2017-05-21,1850.0,A
2017-05-22,849.0,A
2017-05-23,577.0,A
2017-05-24,459.0,A
2017-05-25,385.0,A
2017-05-26,338.0,A
2017-05-27,316.0,A
2017-05-28,393.0,A
2017-05-29,337.0,A
2017-05-30,291.0,A
2017-05-31,263.0,A
2017-06-01,240.0,A
2017-06-02,224.0,A
2017-06-03,213.0,A
2017-06-04,231.0,A
2017-06-05,331.0,A
2017-06-06,296.0,A
2017-06-07,254.0,A
2017-06-08,225.0,A
2017-06-09,208.0,A
2017-06-10,193.0,A
2017-06-11,179.0,A
2017-06-12,166.0,A
2017-06-13,155.0,A
2017-06-14,148.0,A
2017-06-15,141.0,A
2017-06-16,139.0,A
2017-06-17,133.0,A
2017-06-18,134.0,A
2017-06-19,132.0,A
2017-06-20,129.0,A
2017-06-21,145.0,A
2017-06-22,113.0,A
2017-06-23,107.0,A
2017-06-24,100.0,A
2017-06-25,94.3,A
2017-06-26,87.6,A
2017-06-27,81.7,A
2017-06-28,76.3,A
2017-06-29,72.6,A
2017-06-30,78.9,A
2017-07-01,84.8,A
2017-07-02,94.6,A
2017-07-03,619.0,A
2017-07-04,316.0,A
2017-07-05,318.0,A
2017-07-06,281.0,A
2017-07-07,229.0,A
2017-07-08,369.0,A
2017-07-09,361.0,A
2017-07-10,269.0,A
2017-07-11,224.0,A
2017-07-12,189.0,A
2017-07-13,166.0,A
2017-07-14,152.0,A
2017-07-15,141.0,A
2017-07-16,132.0,A
2017-07-17,126.0,A
2017-07-18,120.0,A
2017-07-19,112.0,A
2017-07-20,106.0,A
2017-07-21,99.2,A
2017-07-22,92.7,A
2017-07-23,86.8,A
2017-07-24,81.0,A
2017-07-25,79.5,A
2017-07-26,73.3,A
2017-07-27,68.7,A
2017-07-28,69.6,A
2017-07-29,88.5,A
2017-07-30,82.8,A
2017-07-31,74.1,A
2017-08-01,68.5,A
2017-08-02,65.6,A
2017-08-03,62.1,A
2017-08-04,59.2,A
2017-08-05,54.0,A
2017-08-06,62.4,A
2017-08-07,85.1,A
2017-08-08,79.2,A
2017-08-09,69.6,A
2017-08-10,62.9,A
2017-08-11,70.2,A
2017-08-12,75.1,A
2017-08-13,72.3,A
2017-08-14,103.0,A
2017-08-15,93.7,A
2017-08-16,120.0,A
2017-08-17,160.0,A
2017-08-18,172.0,A
2017-08-19,163.0,A
